0,統計年,區域別,年底人口數,土地面積,人口密度
275,106,嘉義縣梅山鄉,19475,119.7571,163
276,106,嘉義縣番路鄉,11599,117.5269,99
277,106,嘉義縣大埔鄉,4564,173.2472,26
278,106,嘉義縣阿里山鄉,5631,427.8471,13
279,106,屏東縣屏東市,200452,65.067,3081
280,106,屏東縣潮州鎮,54377,42.4331,1281
281,106,屏東縣東港鎮,47866,29.4635,1625
282,106,屏東縣恆春鎮,30726,136.763,225
283,106,屏東縣萬丹鄉,50935,57.4679,886
284,106,屏東縣長治鄉,30008,39.8861,752
285,106,屏東縣麟洛鄉,11076,16.26,681
286,106,屏東縣九如鄉,22110,42.0187,526
287,106,屏東縣里港鄉,26459,68.9208,384
288,106,屏東縣鹽埔鄉,25997,64.3493,404
289,106,屏東縣高樹鄉,24622,90.1522,273
290,106,屏東縣萬巒鄉,20556,60.7315,338
291,106,屏東縣內埔鄉,54707,81.8554,668
292,106,屏東縣竹田鄉,17158,29.0732,590
293,106,屏東縣新埤鄉,9936,59.0102,168
294,106,屏東縣枋寮鄉,24571,57.7347,426
295,106,屏東縣新園鄉,35321,38.3109,922
296,106,屏東縣崁頂鄉,15720,31.2659,503
297,106,屏東縣林邊鄉,18080,15.6233,1157
298,106,屏東縣南州鄉,10670,18.97,562
299,106,屏東縣佳冬鄉,19380,30.9842,625
300,106,屏東縣琉球鄉,12337,6.8018,1814
301,106,屏東縣車城鄉,8586,49.8517,172
302,106,屏東縣滿州鄉,7840,142.2013,55
303,106,屏東縣枋山鄉,5478,17.2697,317
304,106,屏東縣三地門鄉,7644,196.3965,39
305,106,屏東縣霧臺鄉,3246,278.796,12
306,106,屏東縣瑪家鄉,6746,78.7008,86
307,106,屏東縣泰武鄉,5271,118.6266,44
308,106,屏東縣來義鄉,7465,167.7756,44
309,106,屏東縣春日鄉,4867,160.001,30
310,106,屏東縣獅子鄉,4806,301.0018,16
311,106,屏東縣牡丹鄉,4926,181.8366,27
312,106,臺東縣臺東市,105960,109.7691,965
313,106,臺東縣成功鎮,14238,143.9939,99
314,106,臺東縣關山鎮,8742,58.7351,149
315,106,臺東縣卑南鄉,17399,412.6871,42
316,106,臺東縣大武鄉,6117,69.1454,88
317,106,臺東縣太麻里鄉,11163,96.6523,115
