溪流分級,主管機關,河川代碼,溪流名稱,"重名
數量",溪流wikiID,別名,上級,"所在縣市
（以 ,分隔）","縣市
wikidata ID","所在鄉鎮區
（以 ,分隔）",鄉鎮區wiki ID,水系,"流入水域
（wikiID)",流入,"主流
or
支流",,
,,,新武呂溪,6,,,,,,,,,,,,,
,,,新武呂溪,6,,,,,,,,,,,,,
,,,新社坑,2,,,,嘉義縣,,竹崎鄉,,,,,,,
,,,新社坑,2,,,,嘉義縣,,竹崎鄉,,,,,,,
,,,新社排水,1,,,,花蓮縣,,豐濱鄉,,,,太平洋,,縣(市)管區域排水,
縣市管河川,,152000,新虎尾溪,14,Q11084280,,,雲林縣,,"林內鄉,西螺鎮,二崙鄉,崙背鄉,麥寮鄉,虎尾鎮,土庫鎮,褒忠鄉,東勢鄉,台西鄉",,新虎尾溪,,,,,
,,,新虎尾溪,14,,,,雲林縣,,臺西鄉,,,,,,,
,,,新虎尾溪,14,,,,雲林縣,,東勢鄉,,,,,,,
,,,新虎尾溪,14,,,,雲林縣,,麥寮鄉,,,,,,,
,,,新虎尾溪,14,,,,雲林縣,,褒忠鄉,,,,,,,
,,,新虎尾溪,14,,,,雲林縣,,土庫鎮,,,,,,,
,,,新虎尾溪,14,,,,雲林縣,,崙背鄉,,,,,,,
,,,新虎尾溪,14,,,,雲林縣,,二崙鄉,,,,,,,
,,,新虎尾溪,14,,,,雲林縣,,虎尾鎮,,,,,,,
,,,新虎尾溪,14,,,,雲林縣,,西螺鎮,,,,,,,
,,,新虎尾溪,14,,,,雲林縣,,莿桐鄉,,,,,,,
,,,新虎尾溪,14,,,,雲林縣,,西螺鎮,,,,,,,
,,,新虎尾溪,14,,,,雲林縣,,莿桐鄉,,,,,,,
,,,新虎尾溪,14,,,,,,,,,,,,,
,,,新城圳,4,,,,新竹縣,,橫山鄉,,,,,,,
,,,新城圳,4,,,,新竹縣,,關西鎮,,,,,,,
,,,新城圳,4,,,,新竹縣,,橫山鄉,,,,,,,
,,,新城圳,4,,,,新竹縣,,關西鎮,,,,,,,
,,,新城東溪,1,,,,宜蘭縣,,南澳鄉,,,,,,,
,,,新城第二排水,1,,,,花蓮縣,,新城鄉,,,,太平洋,,縣(市)管區域排水,
,,,新城第三排水,1,,,,花蓮縣,,新城鄉,,,,太平洋,,縣(市)管區域排水,
,,,新城第四排水,1,,,,花蓮縣,,新城鄉,,,,太平洋,,縣(市)管區域排水,
縣市管河川,,254000,新城溪,5,Q11081953,,,宜蘭縣,,"蘇澳鎮,冬山鄉,南澳鄉,大同鄉",,新城溪,,,,,
,,,新城溪,5,,,,宜蘭縣,,蘇澳鎮,,,,,,,
,,,新城溪,5,,,,宜蘭縣,,蘇澳鎮,,,,,,,
,,,新城溪,5,,,,,,,,,,,,,
,,,新城溪,5,,,,,,,,,,,,,
縣市管河川,,125000,新屋溪,6,Q11082350,,,桃園市,,"新屋區,觀音區",,新屋溪,,,,,
,,,新屋溪,6,,,,桃園市,,觀音區,,,,,,,
,,,新屋溪,6,,,,桃園市,,新屋區,,,,,,,
,,,新屋溪,6,,,,桃園市,,新屋區,,,,,,,
,,,新屋溪,6,,,,桃園市,,觀音區,,,,,,,
,,,新屋溪,6,,,,,,,,,,,,,
,,,新厝埤,1,,,,桃園市,,觀音區,,,,,,,
,,,新埔土地公埔一圳,1,,,,新竹縣,,新埔鎮,,,,,,,
,,,新埔溪排水,1,,,,苗栗縣,,通霄鎮,,,,台灣海峽,,縣(市)管區域排水,
,,,新班鳩溪,3,,,,臺東縣,,卑南鄉,,,,,,,
,,,新班鳩溪,3,,,,臺東縣,,卑南鄉,,,,,,,
,,,新班鳩溪,3,,,,,,,,,,,,,
,,,新埤,4,,,,臺南市,,官田區,,,,,,,
,,,新埤,4,,,,嘉義縣,,大林鎮,,,,,,,
,,,新埤,4,,,,桃園市,,中壢區,,,,,,,
,,,新埤,4,,,,桃園市,,大園區,,,,,,,
,,,新埤圳排水,1,,,,苗栗縣,,銅鑼鄉,,,,西湖溪,,縣(市)管區域排水,
,,,新埤排水,2,,,,嘉義縣,,六腳鄉、太保市,,,,朴子溪,,縣(市)管區域排水,
,,,新埤排水,2,,,,嘉義縣,,,,,,,,,
,,,新埤排水幹線,1,,,,屏東縣,,新埤鄉、林邊鄉,,,,林邊溪,,縣(市)管區域排水,
,,,新莊子溪,4,,,,桃園市,,蘆竹區,,,,,,,
,,,新莊子溪,4,,,,桃園市,,桃園區,,,,,,,
,,,新莊子溪,4,,,,桃園市,,桃園區,,,,,,,
,,,新莊子溪,4,,,,桃園市,,蘆竹區,,,,,,,
,,,新莊小溪,1,,,,高雄市,,杉林區,,,,,,,
,,,新莊溪,2,,,,花蓮縣,,豐濱鄉,,,,,,,
,,,新莊溪,2,,,,,,,,,,,,,
,,,新都驕溪,1,,,,屏東縣,,獅子鄉,,,,,,,
,,,新港大排一,1,,,,雲林縣,,口湖鄉,,,,出海口防潮閘門,,縣(市)管區域排水,
,,,新港大排二,1,,,,雲林縣,,口湖鄉,,,,出海口防潮閘門,,縣(市)管區域排水,
,,,新港北溪,3,,,,臺東縣,,成功鎮,,,,,,,
,,,新港北溪,3,,,,臺東縣,,成功鎮,,,,,,,
,,,新港北溪,3,,,,,,,,,,,,,
,,,新港南溪,3,,,,臺東縣,,成功鎮,,,,,,,
,,,新港南溪,3,,,,臺東縣,,成功鎮,,,,,,,
,,,新港南溪,3,,,,,,,,,,,,,
縣市管河川,,224000,新港溪,5,Q11083246,"成功溪,巴拿尼灣溪",,臺東縣,,成功鎮,,新港溪,,,,,
,,,新港溪,5,,,,臺東縣,,成功鎮,,,,,,,
,,,新港溪,5,,,,臺東縣,,成功鎮,,,,,,,
,,,新港溪,5,,,,,,,,,,,,,
,,,新港溪,5,,,,,,,,,,,,,
縣市管河川,,133000,新港溪排水,2,N/A,新港溪,,苗栗縣,,竹南鎮,,新港溪排水,,,,,
,,,新港溪排水,2,,,,苗栗縣,,竹南鎮,,,,台灣海峽,,縣(市)管區域排水,
,,,新港漁港,2,,,,高雄市,,永安區,,,,,,,
,,,新港漁港,2,,,,臺東縣,,成功鎮,,,,,,,
,,,新湖大排,1,,,,雲林縣,,褒忠鄉,,,,有才寮大排,,縣(市)管區域排水,
,,,新街大排,1,,,,雲林縣,,水林鄉、北港鎮,,,,北港溪,,縣(市)管區域排水,
,,,新街埤幹線,1,,,,屏東縣,,車城鄉,,,,,,,
,,,新街排水,1,,,,南投縣,,名間鄉,,,,,,,
,,,新街排水分線,1,,,,南投縣,,名間,,,,新街排水,,縣(市)管區域排水,
,,,新街排水支線,1,,,,南投縣,,名間,,,,坑內坑溪,,縣(市)管區域排水,
,,,新街排水支線─1,1,,,,南投縣,,名間,,,,新街排水,,縣(市)管區域排水,
,,,新街排水幹線,1,,,,屏東縣,,車城鄉,,,,保力溪,,縣(市)管區域排水,
,,,新街排水溝,2,,,,屏東縣,,車城鄉,,,,,,,
,,,新街排水溝,2,,,,屏東縣,,車城鄉,,,,,,,
縣市管河川,,120000,新街溪,10,Q17025425,石頭溪,,桃園市,,"龍潭區,平鎮區,中壢區,大園區",,新街溪,,,,,
,,,新街溪,10,,,,桃園市,,大園區,,,,,,,
,,,新街溪,10,,,,桃園市,,大園區,,,,,,,
,,,新街溪,10,,,,桃園市,,中壢區,,,,,,,
,,,新街溪,10,,,,桃園市,,平鎮區,,,,,,,
,,,新街溪,10,,,,桃園市,,龍潭區,,,,,,,
,,,新街溪,10,,,,桃園市,,中壢區,,,,,,,
,,,新街溪,10,,,,桃園市,,平鎮區,,,,,,,
,,,新街溪,10,,,,,,,,,,,,,
,,,新街溪,10,,,,,,,,,,,,,
,,,新街溪排水幹線,1,,,,桃園市,,大園區、中壢區、平鎮區,,,,台灣海峽,,直轄市管區域排水,
,,,新開溪,4,,,,屏東縣,,枋寮鄉,,,,,,,
,,,新開溪,4,,,,屏東縣,,枋寮鄉,,,,,,,
,,,新開溪,4,,,,屏東縣,,春日鄉,,,,,,,
,,,新開溪,4,,,,,,,,,,,,,
中央管河川,第二河川局,135050,新隆河,5,Q34945733,"老雞隆溪,雞隆河",,苗栗縣,,銅鑼鄉,,後龍溪,,,,,
,,,新隆河,5,,老雞隆河,,苗栗縣,,銅鑼鄉,,,,,,,
,,,新隆河,5,,老雞隆河,,苗栗縣,,銅鑼鄉,,,,,,,
,,,新隆河,5,,老雞隆河,,,,,,,,,,,
,,,新隆河,5,,,,,,,,,,,,,
,,,新園排水幹線,1,,,,屏東縣,,新園鄉,,,,東港溪,,縣(市)管區域排水,
,,,新園溪,3,,,,臺東縣,,卑南鄉,,,,,,,
,,,新園溪,3,,,,臺東縣,,卑南鄉,,,,,,,
,,,新園溪,3,,,,,,,,,,,,,
,,,新塭排水,1,,,,嘉義縣,,布袋鎮,,,,龍宮溪,,縣(市)管區域排水,
,,,新路溪,4,,,,屏東縣獅子鄉,,,,楓港溪,,,,,
,,,新路溪,4,,塔加寮溪,,屏東縣,,獅子鄉,,,,,,,
,,,新路溪,4,,塔加寮溪,,屏東縣,,獅子鄉,,,,,,,
,,,新路溪,4,,塔加寮溪,,,,,,,,,,,
,,,新福圳,1,,頭寮大池,,桃園市,,大溪區,,,,,,,
,,,新福州圳十一號池,1,,,,桃園市,,大溪區,,,,,,,
,,,新寮坑支線,1,,,,新北市,,泰山區,,,,大窠坑溪,,直轄市管區域排水,
,,,新寮溪,13,,,,宜蘭縣,,冬山鄉,,,,冬山河,,縣(市)管區域排水,
,,,新寮溪,13,,,,宜蘭縣,,,,冬山河,,,,,
,,,新寮溪,13,,,,宜蘭縣,,冬山鄉,,,,,,,
,,,新寮溪,13,,,,新北市,,平溪區,,,,,,,
,,,新寮溪,13,,,,宜蘭縣,,南澳鄉,,,,,,,
,,,新寮溪,13,,,,臺南市,,楠西區,,,,,,,
,,,新寮溪,13,,,,臺南市,,楠西區,,,,,,,
,,,新寮溪,13,,,,宜蘭縣,,南澳鄉,,,,,,,
,,,新寮溪,13,,,,宜蘭縣,,冬山鄉,,,,,,,
,,,新寮溪,13,,,,新北市,,平溪區,,,,,,,
,,,新寮溪,13,,,,,,,,,,,,,
,,,新寮溪,13,,,,,,,,,,,,,
,,,新寮溪,13,,,,,,,,,,,,,
,,,新橋溪,1,,,,臺東縣,,東河鄉,,,,,,,
,,,新興大排,1,,,,雲林縣,,斗六市,,,,虎尾溪,,縣(市)管區域排水,
,,,新興中排一,1,,,,雲林縣,,東勢鄉,,,,有才寮大排,,縣(市)管區域排水,
,,,新興坑排水,2,,,,彰化縣,,芬園鄉,,,,,,,
,,,新興坑排水,2,,,,彰化縣,,芬園鄉,,,,,,,
,,,新興排水,1,,,,花蓮縣,,富里鄉,,,,馬加祿溪,,縣(市)管區域排水,
,,,新豐排水支線,1,,,,屏東縣,,高樹鄉,,,,後壁溪排水幹線,,縣(市)管區域排水,
縣市管河川,,128000,新豐溪,5,Q11084349,,,新竹縣,,"新豐鄉,湖口鄉",,新豐溪,,,,,
,,,新豐溪,5,,,,新竹縣,,新豐鄉,,,,,,,
,,,新豐溪,5,,,,新竹縣,,新豐鄉,,,,,,,
,,,新豐溪,5,,,,,,,,,,,,,
,,,新豐溪,5,,,,,,,,,,,,,
,,,新豐溪北勢支線,1,,,,新竹縣,,新豐鄉,,,,,,,
,,,新豐溪波羅汶支線,1,,,,新竹縣,,新豐鄉,,,,,,,
,,,新豐溪德盛支線,2,,,,新竹縣,,湖口鄉,,,,,,,
,,,新豐溪德盛支線,2,,,,新竹縣,,新豐鄉,,,,,,,
跨省市河川,,114031,暖暖溪,2,#N/A,,,基隆市,,暖暖區,,淡水河(基隆河),,,,,
,,,暖暖溪,2,,,,基隆市,,,,,,基隆河,,縣(市)管區域排水,（含東勢坑溪）
,,,暗坑,2,,,,臺南市,,官田區,,,,,,,
,,,暗坑,2,,,,,,,,,,,,,
,,,暗港大排,1,,,,雲林縣,,古坑鄉,,,,石龜溪,,縣(市)管區域排水,
,,,暗潭埤,2,,,,苗栗縣,,造橋鄉,,,,,,,
,,,暗潭埤,2,,,,苗栗縣,,頭屋鄉,,,,,,,
,,,會社埤,1,,,,桃園市,,觀音區,,,,,,,
,,,會埔大圳,2,,,,嘉義縣,,番路鄉,,,,,,,
,,,會埔大圳,2,,,,嘉義縣,,番路鄉,,,,,,,
,,,椰油南溪,4,,,,臺東縣,,蘭嶼鄉,,椰油南溪,,,,,
,,,椰油南溪,4,,,,臺東縣,,蘭嶼鄉,,椰油南溪,,,,,
,,,椰油南溪,4,,,,臺東縣,,蘭嶼鄉,,,,,,,
,,,椰油南溪,4,,,,臺東縣,,蘭嶼鄉,,,,,,,
,,,椰油溪,3,,,,臺東縣,,蘭嶼鄉,,椰油溪,,,,,
,,,椰油溪,3,,,,臺東縣,,蘭嶼鄉,,,,,,,
,,,椰油溪,3,,,,臺東縣,,蘭嶼鄉,,,,,,,
,,,椿谷溪,1,,,,,,,,,,,,,
,,,楊岸溪,1,,,,南投縣,,仁愛鄉,,,,北港溪(南投縣),,,
,,,楊厝區排,1,,,,金門縣,,烈嶼鄉,,,,,,縣(市)管區域排水,
縣市管河川,,106000,楓林溪,6,Q11119633,,,新北市,,石門區,,楓林溪,,,,,
,,,楓林溪,6,,,,新北市,,三芝區,,,,,,,
,,,楓林溪,6,,,,新北市,,石門區,,,,,,,
,,,楓林溪,6,,,,新北市,,三芝區,,,,,,,
,,,楓林溪,6,,,,,,,,,,,,,
,,,楓林溪,6,,,,,,,,,,,,,
縣市管河川,,183000,楓港溪,11,Q11119649,,,屏東縣,,"枋山鄉,獅子鄉",,楓港溪,,,,,
,,,楓港溪,11,,,,屏東縣,,枋山鄉,,,,,,,
,,,楓港溪,11,,,,屏東縣,,獅子鄉,,,,,,,
,,,楓港溪,11,,,,屏東縣,,牡丹鄉,,,,,,,
,,,楓港溪,11,,,,屏東縣,,枋山鄉,,,,,,,
,,,楓港溪,11,,,,屏東縣,,獅子鄉,,,,,,,
,,,楓港溪,11,,,,臺東縣,,達仁鄉,,,,,,,
,,,楓港溪,11,,,,臺東縣,,達仁鄉,,,,,,,
,,,楓港溪,11,,,,,,,,,,,,,
,,,楓港溪,11,,,,,,,,,,,,,
,,,楓港溪,11,,,,,,,,,,,,,
中央管河川,第一河川局,250030,楓溪,2,Q32752096,,,宜蘭縣,,南澳鄉,,和平溪,,,,,
,,,楓溪,2,,,,,,,,,,,,,
,,,楓廚坑排水,1,,,,苗栗縣,,西湖鄉,,,,西湖溪,,縣(市)管區域排水,
,,,楓樹坑,2,,,,桃園市,,龜山區,,,,,,,
,,,楓樹坑,2,,,,桃園市,,龜山區,,,,,,,
,,,楓樹坑溪,1,,,,,,,,,,,,,
,,,楓樹湖南溪,2,,,,雲林縣,,斗六市,,,,,,,
,,,楓樹湖南溪,2,,,,,,,,,,,,,
,,,楓樹溪,3,,,,苗栗縣,,通霄鎮,,,,,,,
,,,楓樹溪,3,,,,苗栗縣,,西湖鄉,,,,,,,
,,,楓樹溪,3,,,,苗栗縣,,通霄鎮,,,,,,,
,,,楓樹溪排水,1,,,,苗栗縣,,通霄鎮,,,,內湖溪排水,,縣(市)管區域排水,
,,,楓樹溪排水幹線,1,,,,桃園市,,龜山區,,,,南崁溪,,直轄市管區域排水,
,,,楓樹腳溪,4,,,,臺中市,,南屯區,,,,,,,
,,,楓樹腳溪,4,,,,臺中市,,烏日區,,,,,,,
,,,楓樹腳溪,4,,,,臺中市,,南屯區,,,,,,,
,,,楓樹腳溪,4,,,,臺中市,,烏日區,,,,土庫溪,,,
,,,楓樹腳溪支線,2,,,,臺中市,,南屯區,,,,,,,
,,,楓樹腳溪支線,2,,,,臺中市,,南屯區,,,,,,,
,,,楓樹潭圳,1,,,,臺中市,,東勢區,,大甲溪,,中嵙溪,,,
,,,楠坑溝,2,,,,臺南市,,龍崎區,,,,龜洞溪,,,
,,,楠坑溝,2,,,,臺南市,,關廟區,,,,,,,
,,,楠梓仙溪,12,,,,高雄市,,旗山區,,,,,,,
,,,楠梓仙溪,12,,,,高雄市,,杉林區,,,,,,,
,,,楠梓仙溪,12,,,,高雄市,,甲仙區,,,,,,,
,,,楠梓仙溪,12,,,,高雄市,,杉林區,,,,,,,
,,,楠梓仙溪,12,,,,高雄市,,那瑪夏區,,,,,,,
,,,楠梓仙溪,12,,,,嘉義縣,,阿里山鄉,,,,,,,
,,,楠梓仙溪,12,,,,高雄市,,桃源區,,,,,,,
,,,楠梓仙溪,12,,,,高雄市,,旗山區,,,,,,,
,,,楠梓仙溪,12,,,,高雄市,,甲仙區,,,,,,,
,,,楠梓仙溪,12,,,,高雄市,,那瑪夏區,,,,,,,
,,,楠梓仙溪,12,,,,嘉義縣,,阿里山鄉,,,,,,,
,,,楠梓仙溪,12,,,,高雄市,,桃源區,,,,,,,
,,,楠梓坑溪,1,,,,,,,,,,,,,
,,,楠梓排水,1,,,,高雄市,,橋頭區,,,,後勁溪排水,,直轄市管區域排水,
,,,楠梓溪,6,,,,高雄市,,楠梓區,,,,,,,
,,,楠梓溪,6,,,,高雄市,,橋頭區,,,,,,,
,,,楠梓溪,6,,,,高雄市,,大社區,,,,,,,
,,,楠梓溪,6,,,,高雄市,,大社區,,,,,,,
,,,楠梓溪,6,,,,高雄市,,仁武區,,,,,,,
,,,楠梓溪,6,,,,高雄市,,橋頭區,,,,,,,
中央管河川,,220071,楠溪,2,#N/A,,,臺東縣,,關山鎮,,卑南溪,,,,,
,,,楠溪,2,,,,宜蘭縣,,南澳鄉,,,,,,,
,,,楣子寮溪,1,,,,新北市,,新店區,,,,,,,
,,,源城溪,3,,無尾溪,,花蓮縣,,玉里鎮,,,,,,,
,,,源城溪,3,,無尾溪,,,,,,,,,,,
,,,源城溪,3,,無尾溪,,花蓮縣,,玉里鎮,,,,,,,
,,,溝仔墘排水幹線,1,,,,屏東縣,,竹田鄉,,,,東港溪,,縣(市)管區域排水,
,,,溝貝幹線,1,,,,新竹縣,,竹北市,,,,頭前溪,,縣(市)管區域排水,
,,,溝坪溪,2,,,,高雄市,,內門區,,,,,,,
,,,溝坪溪,2,,,,高雄市,,內門區,,,,,,,
,,,溪口厝排水支線,1,,,,彰化縣,,伸港鄉,,,,田尾排水,,縣(市)管區域排水,
,,,溪口排水路,1,,,,嘉義縣,,新港鄉、溪口鄉,,,,埤子頭排水路,,縣(市)管區域排水,
,,,溪子崙大排,1,,,,雲林縣,,四湖鄉,,,,林厝寮大排一,,縣(市)管區域排水,
,,,溪心埧排水,1,,,,臺中市,,霧峰區,,,,烏溪,,直轄市管區域排水,
,,,溪心寮排水,1,,,,臺南市,,安南區,,,,曾文溪排水,,直轄市管區域排水,
,,,溪仔口溪,3,,,,屏東縣,,滿州鄉,,,,,,,
,,,溪仔口溪,3,,,,屏東縣,,滿州鄉,,,,,,,
,,,溪仔口溪,3,,,,,,,,,,,,,
,,,溪仔圳大排,1,,,,雲林縣,,古坑鄉,,,,崙子溪,,縣(市)管區域排水,
,,,溪仔埤,1,,,,桃園市,,大園區,,,,,,,
,,,溪州埤排水幹線,1,,,,南投縣,,草屯,,,,貓羅溪,,縣(市)管區域排水,
,,,溪州埤排水幹線─1,1,,,,南投縣,,草屯,,,,溪州埤排水,,縣(市)管區域排水,
,,,溪州埤排水幹線─2,1,,,,南投縣,,草屯,,,,溪州埤排水,,縣(市)管區域排水,
,,,溪州溝排水,2,,,,南投縣,,草屯鎮,,,,,,,
,,,溪州溝排水,2,,,,南投縣,,草屯鎮,,,,,,,
,,,溪州溪,6,,,,屏東縣,,東港鎮,,,,,,,
,,,溪州溪,6,,,,屏東縣,,南州鄉,,,,,,,
,,,溪州溪,6,,,,屏東縣,,崁頂鄉,,,,,,,
,,,溪州溪,6,,,,屏東縣,,南州鄉,,,,,,,
,,,溪州溪,6,,,,屏東縣,,崁頂鄉,,,,,,,
,,,溪州溪,6,,,,,,,,,,,,,
,,,溪州溪排水幹線,1,,,,屏東縣,,東港鎮、南州鄉、崁頂鄉、新埤鄉、潮州鎮,,,,東港溪,,縣(市)管區域排水,
,,,溪尾排水,1,,,,臺南市,,善化區、麻豆區,,,,曾文溪,,直轄市管區域排水,
,,,溪尾寮排水,1,,,,臺中市,,烏日區,,,,烏溪,,直轄市管區域排水,
跨省市河川,,11402C,溪尾寮溪,1,#N/A,尾寮溪,,新北市,,雙溪區,,淡水河(新店溪),,,,,
,,,溪底溝,2,,,,宜蘭縣,,頭城鎮,,,,,,,
,,,溪底溝,2,,,,宜蘭縣,,頭城鎮,,,,,,,
,,,溪底溝排水,1,,,,臺中市,,太平區,,,,大里溪,,直轄市管區域排水,
,,,溪東排水,1,,,,新北市,,三峽區,,,,橫溪,,直轄市管區域排水,
,,,溪南寮排水,1,,,,臺南市,,西港區、安南區,,,,鹿耳門溪排水,,直轄市管區域排水,
,,,溪洲圳,1,,,,桃園市,,大溪區,,,,,,,
,,,溪洲排水,1,,,,高雄市,,旗山區,,,,旗山溪,,直轄市管區域排水,
,,,溪洲溪,2,,,,臺中市,,大安區,,,,,,,
,,,溪洲溪,2,,,,臺中市,,大安區,,,,,,,
,,,溪埔子中排,1,,,,雲林縣,,虎尾鎮,,,,山子大排,,縣(市)管區域排水,
,,,溪埔子排水幹線,1,,前溪大排水,,新竹市,,東區、北區,,,,頭前溪,,縣(市)管區域排水,
,,,溪墘排水,1,,,,嘉義縣,,布袋鎮、義竹鄉,,,,龍宮排水,,縣(市)管區域排水,
,,,溪頭下埤,1,,,,彰化縣,,芬園鄉,,,,,,,
,,,溪邊寮圳,1,,,,嘉義縣,,大林鎮,,,,,,,
,,,溫子圳排水,1,,,,新北市,,五股區,,,,五股坑溪,,直轄市管區域排水,
,,,溫水坑溪,2,,,,南投縣,,竹山鎮,,,,,,,
,,,溫水坑溪,2,,,,南投縣,,竹山鎮,,,,,,,
,,,溫仔排水支線,1,,,,彰化縣,,線西鄉,,,,番雅溝排水幹線,,縣(市)管區域排水,
,,,溫泉溪,3,,,,高雄市,,茂林區,,,,,,,
,,,溫泉溪,3,,,,高雄市,,茂林區,,,,,,,
,,,溫泉溪,3,,,,,,,,,,,,,
,,,溫厝溪,1,,,,臺南市,,,,急水溪,,,,,
,,,溫雅寮排水,1,,,,臺中市,,清水區,,,,台灣海峽,,直轄市管區域排水,
縣市管河川,,141000,溫寮溪,5,Q16929083,,,臺中市,,"大安區,大甲區,外埔區",,溫寮溪,,,,,
,,,溫寮溪,5,,,,臺中市,,大安區,,,,,,,
,,,溫寮溪,5,,,,臺中市,,大安區,,,,,,,
,,,溫寮溪,5,,,,臺中市,,大甲區,,,,,,,
,,,溫寮溪,5,,,,,,,,,,,,,
,,,煌秀坑,1,,,,南投縣,,國姓鄉,,,,,,,
,,,煙寮坑,1,,,,南投縣,,埔里鎮,,,,,,,
,,,照平坑,2,,,,宜蘭縣,,冬山鄉,,,,,,,
,,,照平坑,2,,,,宜蘭縣,,冬山鄉,,,,,,,
,,,照安坑排水,1,,,,宜蘭縣,,冬山鄉,,,,安平坑排水,,縣(市)管區域排水,
,,,照安坑溪,1,,,,,,,,,,,,,
,,,照東坑,2,,,,嘉義縣,,大埔鄉,,,,,,,
,,,照東坑,2,,,,臺南市,,楠西區,,,,,,,
,,,照鏡埤,1,,,,桃園市,,大園區,,,,,,,
,,,爺巴堪溪,2,,,,新竹縣,,五峰鄉,,,,,,,
,,,爺巴堪溪,2,,,,,,,,,,,,,
中央管河川,,155060,獅子頭溪,8,#N/A,,,嘉義縣,,竹崎鄉,,朴子溪,,,,,
,,,獅子頭溪,8,,獅頭溪,,嘉義,,,,朴子溪,,,,,
,,,獅子頭溪,8,,,,嘉義縣,,民雄鄉,,,,,,,
,,,獅子頭溪,8,,,,嘉義縣,,竹崎鄉,,,,,,,
,,,獅子頭溪,8,,,,嘉義縣,,竹崎鄉,,,,,,,
,,,獅子頭溪,8,,,,屏東縣,,獅子鄉,,,,,,,
,,,獅子頭溪,8,,,,屏東縣,,枋山鄉,,,,,,,
,,,獅子頭溪,8,,,,屏東縣,,獅子鄉,,,,,,,
,,,獅尾堀排水幹線,1,,,,南投縣,,竹山,,,,濁水溪,,縣(市)管區域排水,
,,,獅尾堀排水幹線─2,1,,,,南投縣,,竹山,,,,獅尾堀排水,,縣(市)管區域排水,
,,,獅潭川,4,,,,苗栗縣,,獅潭鄉,,,,,,,
,,,獅潭川,4,,,,苗栗縣,,頭屋鄉,,,,,,,
,,,獅潭川,4,,,,苗栗縣,,獅潭鄉,,,,,,,
,,,獅潭川,4,,,,苗栗縣,,頭屋鄉,,,,,,,
,,,獅頭坑,2,,,,彰化縣,,二水鄉,,,,,,,
,,,獅頭坑,2,,,,彰化縣,,二水鄉,,,,,,,
,,,獅頭排水支線,1,,,,屏東縣,,新埤鄉,,,,箕湖排水幹線,,縣(市)管區域排水,
,,,獅龍溝,1,,,,高雄市,,仁武區,,,,,,,
,,,獅龍溪,2,,,,高雄市,,仁武區,,,,,,,
,,,獅龍溪,2,,,,高雄市,,仁武區,,,,,,,
,,,獅龍溪排水,1,,,,高雄市,,仁武區,,,,後勁溪排水,,直轄市管區域排水,
,,,瑞北坑排水,1,,,,花蓮縣,,瑞穗鄉,,,,虎頭溪,,縣(市)管區域排水,
,花蓮縣政府,,瑞北坑溪,1,,,,瑞穗鄉,,,,,,,,,
,,,瑞岩溪,2,,,,南投縣,,仁愛鄉,,,,,,,
,,,瑞岩溪,2,,,,,,,,,,,,,
,,,瑞祥排水,1,,,,花蓮縣,,瑞穗鄉,,,,瑞北坑排水,,縣(市)管區域排水,
,,,瑞樹坑溪,3,,,,新北市,,林口區,,,,,,,
,,,瑞樹坑溪,3,,,,新北市,,林口區,,,,,,,
,,,瑞樹坑溪,3,,,,,,,,,,,,,
,,,瑞豐排水,1,,,,臺東縣,,鹿野鄉,,,,卑南溪,,縣(市)管區域排水,
,,,矮山坑,2,,,,臺中市,,新社區,,大甲溪,,大甲溪,,,
,,,矮山坑,2,,,,,,,,,,,,,
,行政院農業委員會水土保持局臺中分局,,矮山坑溪,1,,,,,,,,,,,,,
,,,萬丈坑溪,1,,,,,,,,,,,,,
,,,萬丈深坑,1,,,,屏東縣,,滿州鄉,,,,,,,
,,,萬大水庫,1,,碧湖,,南投縣,,仁愛鄉,,,,,,,
,,,萬大北溪,1,,,,南投縣,,仁愛鄉,,,,,,,
,,,萬大南溪,1,,,,南投縣,,仁愛鄉,,,,,,,
中央管河川,,151040,萬大溪,5,Q7967136,,,南投縣,,仁愛鄉,,濁水溪,,,,,
,林務局南投處,,萬大溪,5,,,,南投縣仁愛鄉,,,,濁水溪,,,,,
,,,萬大溪,5,,,,南投縣,,仁愛鄉,,,,,,,
,,,萬大溪,5,,,,南投縣,,仁愛鄉,,,,,,,
,,,萬大溪,5,,,,,,,,,,,,,
,,,萬丹排水支線,1,,,,南投縣,,名間,,,,坑內坑溪,,縣(市)管區域排水,
,,,萬丹排水幹線,1,,,,屏東縣,,屏東市、萬丹鄉,,,,高屏溪,,縣(市)管區域排水,
,,,萬斗六坑,2,,,,臺中市,,霧峰區,,,,,,,
,,,萬斗六坑,2,,,,臺中市,,霧峰區,,,,,,,
中央管河川,,220040,萬安溪,11,N/A,,,臺東縣,,池上鄉,,卑南溪,,,,,
中央管河川,,174020,萬安溪,11,Q34828152,,,屏東縣,,萬巒鄉,,東港溪,,,,,
,,,萬安溪,11,,,,屏東,,,,東港溪,,,,,
,,,萬安溪,11,,,,屏東縣,,萬巒鄉,,,,,,,
,,,萬安溪,11,,,,屏東縣,,泰武鄉,,,,,,,
,,,萬安溪,11,,,,屏東縣,,瑪家鄉,,,,,,,
,,,萬安溪,11,,,,臺東縣,,池上鄉,,,,,,,
,,,萬安溪,11,,,,屏東縣,,泰武鄉,,,,,,,
