溪流分級,主管機關,河川代碼,溪流名稱,"重名
數量",溪流wikiID,別名,上級,"所在縣市
（以 ,分隔）","縣市
wikidata ID","所在鄉鎮區
（以 ,分隔）",鄉鎮區wiki ID,水系,"流入水域
（wikiID)",流入,"主流
or
支流",,
,,,十三分坑,2,,,,宜蘭縣,,"冬山鄉,南澳鄉",,,,,支流,,
,,,十三分坑,2,,,,宜蘭縣,,冬山鄉,,,,,主流,,
,,,十三份坑排水,1,,,,宜蘭縣,,冬山鄉,,,,新寮溪,,縣(市)管區域排水,
,,,十三份排水,1,,,,雲林縣,,斗六市,,,,虎尾溪,,縣(市)管區域排水,
,,,十三股大排,1,,,,宜蘭縣,,礁溪鄉、壯圍鄉,,,,得子口溪,,縣(市)管區域排水,
,,,十三寮排水,1,,,,臺中市,,大雅區,,,,筏子溪,,直轄市管區域排水,
,,,十五小給線,1,,,,新北市,,三芝區,,,,,支流,,
,,,十五間溪,2,,,,桃園市,,新屋區,,,,,主流,,
,,,十五間溪,2,,,,桃園市,,"楊梅區,新屋區",,,,,支流,,
,,,十六份排水,1,,,,宜蘭縣,,冬山鄉、羅東鎮,,,,冬山河,,縣(市)管區域排水,
,,,十文溪,1,,,,臺中市,,和平區,,大甲溪,,,支流,,
,,,十四小給線,1,,,,新北市,,三芝區,,,,,支流,,
,,,十四坑,2,,,,基隆市,,七堵區,,,,,支流,,
,,,十四坑,2,,,,基隆市,,七堵區,,,,,主流,,
,,,十四張圳支線,1,,,,臺中市,,,,,,港尾子溪排水,,直轄市管區域排水,
,,,十四寮大埤,1,,,,新竹縣,,峨眉鄉,,,,,主流,,
,,,十股坑,2,,十股坑排水,,苗栗縣,,苑裡鎮,,,,,支流,,
,,,十股坑,2,,十股坑排水,,苗栗縣,,苑裡鎮,,,,,主流,,
,,,十股坑排水,1,,,,苗栗縣,,苑裡鎮,,,,房裡溪,,縣(市)管區域排水,
,,,十股排水,1,,,,臺東縣,,台東市,,,,太平溪,,縣(市)管區域排水,
,,,十股溪,2,,,,宜蘭縣,,礁溪鄉,,,,,支流,,
,,,十股溪,2,,,,宜蘭縣,,礁溪鄉,,,,,主流,,
,,,十區埤,1,,,,新北市,,三芝區,,,,,主流,,
,,,十張犁圳,1,,,,高雄市,,杉林區,,,,,支流,,
跨省市河川,,11402G,十硿子溪,1,#N/A,石硿子溪,,新北市,,石碇區,,淡水河(新店溪),,,,,
,,,三七北圳幹線,1,,,,桃園市,,楊梅區,,,,社子溪,,直轄市管區域排水,
,,,三七南圳幹線,1,,,,桃園市,,新屋區、楊梅區,,,,台灣海峽,,直轄市管區域排水,
,,,三叉坑溪,2,,,,新北市,,雙溪區,,,,,支流,,
,,,三叉坑溪,2,,,,新北市,,雙溪區,,,,,主流,,
,,,三屯圳,3,,,,桃園市,,龍潭區,,,,,支流,,
,,,三屯圳,3,,,,新竹縣,,關西鎮,,,,,支流,,
,,,三屯圳,3,,,,新竹縣,,關西鎮,,,,,主流,,
,,,三仙溪,1,,,,臺東縣,,成功鎮,,,,,支流,,
,,,三仙溪排水,1,,,,花蓮縣,,花蓮市,,,,美崙溪,,縣(市)管區域排水,
,,,三奶壇排水,1,,,,高雄市,,大社區,,,,楠梓溪排水,,直轄市管區域排水,
,,,三民排水,1,,,,花蓮縣,,玉里鎮,,,,秀姑巒溪,,縣(市)管區域排水,
,,,三民溪,2,,,,桃園市,,"復興區,大溪區",,,,,主流,,
