WGS84_EP,WGS84_NP,TSP_EMI,PM_EMI,X_BLANK1,PM25_EMI,SOX_EMI,NOX_EMI,THC_EMI,NMHC_EMI,CO_EMI,PB_EMI,WGS84_E,WGS84_N,ORI_QU1,DIA,HEI,TEMP,VEL,HD1,DW1,WY1,X_BLANK7,X_BLANK10,X_BLANK11,TSP_EFF,TSP_EFF1,SOX_EFF,NOX_EFF,VOC_EFF,CO_EFF,PB_EFF,ZS
119.58,23.57,0.018,0.012,0.0,0.01,0.0,0.048,0.008,0.006,0.012,0.0,956.6043099999999,188.59075,9.8,1.7,150.5,800,3.6000000000000005,40,42,301,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
119.59,23.56,0.034,0.024,0.0,0.02,0.464,0.322,0.043,0.041,0.022,0.022,478.37194,94.24423000000002,2.0,0.6,7.5,200,0.4,33,22,113,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
119.59,23.57,13.678999999999997,7.8829999999999965,0.0,5.165000000000001,0.0,0.0,0.0,0.0,0.0,0.0,7534.072650000011,1484.954920000002,4.0,0.8500000000000001,73.5,480,1.8,792,367,2548,0,0,0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0
119.6,23.56,0.007,0.005,0.0,0.004,0.0,0.043,0.022,0.018000000000000002,0.011,0.0,478.40999,94.23715999999999,3.4,0.45,37.5,220,1.2,56,28,200,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
119.6,23.57,0.0,0.0,0.0,0.0,0.0,0.0,1.957,1.937,0.0,0.0,119.60026,23.56864,0.0,0.0,0.0,0,0.0,24,5,48,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
119.6,23.66,0.0,0.0,0.0,0.0,0.0,0.0,1.468,1.453,0.0,0.0,119.60233,23.66412,0.0,0.0,0.0,0,0.0,4,5,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
119.61,23.54,9.397999999999998,5.175000000000002,0.0,3.3939999999999992,3.492,0.325,0.6020000000000001,0.43300000000000005,0.34500000000000003,0.0,8372.572909999993,1647.9779700000008,4955.0,10.450000000000003,252.10000000000008,1492,253.8,1204,432,2708,0,0,0,1545.0200000000004,0.0,0.0,0.0,0.0,0.0,0.0,0
119.61,23.65,0.002,0.001,0.0,0.001,0.002,0.007,0.003,0.002,0.002,0.0,358.82268999999997,70.95276000000001,0.7,0.4,11.0,200,0.4,54,20,144,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
119.62,23.54,2.265,1.439,0.0,1.0139999999999998,0.239,0.0,0.084,0.064,0.0,0.0,4665.022049999999,918.1497199999993,1.0,0.2,3.0,100,0.5,804,257,1556,0,0,0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0
119.62,23.55,0.029,0.02,0.0,0.017,0.29,0.0,0.0,0.0,0.018,0.018,119.61578,23.5459,1.0,0.32,10.0,100,0.2,4,5,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
119.62,23.56,1.1620000000000001,0.8100000000000003,0.0,0.6180000000000001,0.009,0.283,0.0,0.0,0.08400000000000002,0.04,1435.44156,282.7076399999999,10.0,2.1999999999999997,200.0,1200,4.4,88,80,584,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
119.63,23.55,0.20500000000000002,0.11500000000000002,0.0,0.07700000000000001,0.961,0.258,0.187,0.141,0.061,0.0,4067.358519999998,800.8356000000005,2664.5,4.7,79.0,525,100.5,496,196,1359,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
119.63,23.56,11.64,6.973000000000001,0.0,5.066,1.2650000000000001,0.624,0.0,0.0,0.373,0.0,4067.510789999998,800.9142400000001,107.0,7.01,89.1,1040,3.3999999999999995,784,238,1640,0,0,0,695.8,0.0,0.0,0.0,0.0,0.0,0.0,0
119.64,23.57,0.475,0.25,0.0,0.16899999999999998,0.069,0.074,0.016,0.014,0.022,0.022,2512.469960000001,495.00976999999983,65.9,4.5,110.0,600,1.7999999999999998,348,121,408,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
119.65,23.57,28.344,14.707999999999998,0.0,9.794,0.0,0.0,19.025,14.373,0.0,0.0,3709.190469999999,730.6565000000002,5.0,1.25,95.0,600,1.5,456,199,1488,0,0,0,490.0,0.0,0.0,0.0,70.0,0.0,0.0,0
119.66,23.56,28.797999999999988,26.438000000000002,0.0,25.321,418.13599999999997,935.549,0.08000000000000002,0.055999999999999994,126.714,0.0,9572.702550000013,1885.081799999999,15335.599999999999,24.300000000000004,1384.0,5984,464.6000000000001,1632,507,3716,0,0,0,540.0,0.0,0.0,1530.0,0.0,0.0,0.0,0
119.66,23.57,8.582,8.167,0.0,7.9719999999999995,123.54599999999999,261.151,0.011,0.007,35.093,0.0,717.95618,141.39022,4541.4,7.8,450.0,1674,127.79999999999998,128,30,214,0,0,0,30.0,0.0,0.0,510.0,0.0,0.0,0.0,0
119.66,23.58,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.03,0.0,0.0,119.66093,23.58448,0.0,0.0,0.0,0,0.0,2,5,12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
119.67,23.25,0.125,0.118,0.0,0.11499999999999999,0.005,2.425,0.001,0.001,0.0,0.0,598.3394499999999,116.2714,17.0,0.45999999999999996,17.0,400,25.5,48,35,256,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
119.92,26.15,3.4530000000000003,3.286,0.0,3.208,0.603,223.238,0.042,0.030999999999999996,0.0,0.0,2638.237359999999,575.32948,561.8,3.6999999999999997,101.60000000000001,2111,131.3,528,152,1076,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
119.93,25.97,1.657,1.577,0.0,1.54,0.68,66.18299999999999,0.013000000000000001,0.009000000000000001,0.0,0.0,1918.8452800000005,415.5839999999999,5.300000000000001,2.08,71.7,660,1.2,384,106,740,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
119.93,26.16,15.488,12.72,0.0,11.722,41.919,729.416,0.036000000000000004,0.023999999999999997,0.0,0.0,2638.3878399999994,575.4764400000001,2408.7999999999997,6.0,496.0,2580,220.79999999999998,528,154,1088,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
119.95,26.16,0.0,0.0,0.0,0.0,0.018,0.452,8.812,6.658,0.0,0.0,2159.08558,470.9048100000001,35.8,1.09,22.3,240,1.9000000000000001,187,109,820,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
120.08,23.04,1.473,0.572,0.0,0.507,5.131,102.175,0.0,0.0,5.01,0.005,120.07523,23.04481,1308.3,1.8,124.0,134,15.8,24,7,48,0,0,0,99.5,0.0,86.9,0.0,0.0,0.0,0.0,0
120.08,23.05,1.473,0.572,0.0,0.507,5.474,113.778,0.0,0.0,3.51,0.005,360.22787,69.13983999999999,1233.0,1.8,124.0,136,14.9,72,21,144,0,0,0,99.5,0.0,86.9,0.0,0.0,0.0,0.0,0
120.1,23.16,1.481,1.069,0.0,0.689,0.0,0.0,4.5329999999999995,4.285,0.0,0.0,2281.92128,439.98432999999983,0.0,0.0,0.0,0,0.0,332,123,840,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
120.1,23.22,14.843999999999998,10.12,0.0,7.430000000000001,3.0709999999999997,0.673,0.439,0.365,113.599,0.072,3963.419419999999,766.34845,372.2,0.73,10.4,103,22.1,536,199,1584,0,0,0,2342.0,0.0,0.0,0.0,0.0,0.0,0.0,0
120.11,23.03,0.0,0.0,0.0,0.0,0.0,0.0,0.109,0.108,0.0,0.0,480.45608,92.12848,0.0,0.0,0.0,0,0.0,32,20,192,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
120.12,23.03,16.781,9.075,0.0,5.974,0.0,0.0,0.0,0.0,0.0,0.0,240.24764,46.0612,0.0,0.0,0.0,0,0.0,48,14,96,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
120.12,23.04,0.0,0.0,0.0,0.0,0.0,0.0,11.336,11.217,0.0,0.0,120.12217,23.03597,1.0,0.3,16.0,120,0.2,8,6,48,0,0,0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0
120.12,23.06,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.0,0.0,120.11755,23.0612,0.0,0.0,0.0,0,0.0,2,5,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
120.12,23.13,0.0,0.0,0.0,0.0,0.0,0.0,3.59,3.393,0.0,0.0,360.35103,69.39234,0.0,0.0,0.0,0,0.0,24,18,144,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
120.13,23.04,0.0,0.0,0.0,0.0,0.0,0.0,1.198,0.812,0.0,0.0,240.2579,46.0769,0.0,0.0,0.0,0,0.0,16,10,96,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
120.13,23.06,13.558,7.454999999999999,0.0,4.932,2.032,2.194,1.226,0.926,0.0,0.0,3483.85034,668.68479,1822.9,5.3,111.1,386,32.1,568,187,1253,0,0,0,398.68,0.0,0.0,0.0,0.0,0.0,0.0,0
120.13,23.16,0.012,0.008,0.0,0.005,0.0,0.0,9.314,8.806000000000001,0.0,0.0,1561.6587299999997,301.08463,0.0,0.0,0.0,0,0.0,176,78,624,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
120.13,23.2,0.8,0.55,0.0,0.45799999999999996,10.195,8.867,0.116,0.11,0.876,0.876,1801.9776300000005,347.99779,161.9,1.5,55.0,439,15.1,340,93,720,0,0,0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0
120.14,23.03,0.071,0.051,0.0,0.04,0.763,0.201,0.003,0.003,0.05,0.0,600.68074,115.16242999999999,4.0,1.8,26.0,400,0.4,40,27,216,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
120.14,23.04,1.715999999999999,1.0789999999999993,0.0,0.7770000000000001,2.992,2.65,99.097,85.03899999999999,0.21800000000000003,0.043,22225.741339999993,4262.434610000006,951.7,70.96999999999993,1552.4000000000003,11590,54.90000000000004,2864,1101,8841,0,0,0,3040.0,0.0,60.0,60.0,3607.65,0.0,0.0,0
120.14,23.05,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.0,0.0,360.40518,69.13695,0.0,0.0,0.0,0,0.0,36,15,144,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
120.15,23.03,0.237,0.16000000000000003,0.0,0.12400000000000001,0.003,0.795,8.399000000000001,7.221,0.006,0.0,8651.02469,1658.3292499999995,6514.700000000002,52.330000000000034,1641.0999999999992,4998,178.19999999999993,1728,491,3508,0,0,0,960.0,0.0,0.0,0.0,3346.5699999999997,0.0,0.0,0
